iter	Logloss
0	0.6877191751
1	0.6832410743
2	0.6777475356
3	0.672285283
4	0.6664598414
5	0.6607848841
6	0.6564421873
7	0.6521504895
8	0.648506602
9	0.6442338908
10	0.6395666634
11	0.6353937999
12	0.6307072351
13	0.6267482714
14	0.6235374865
15	0.6209816805
16	0.617136069
17	0.6140683411
18	0.6098776286
19	0.6061150455
20	0.6029941198
21	0.5999499502
22	0.596762739
23	0.5948585553
24	0.5911568222
25	0.5886198212
26	0.5855453348
27	0.5826417752
28	0.5804063549
29	0.5772180322
30	0.5757209846
31	0.5733462624
32	0.5708034936
33	0.569293272
34	0.5674955775
35	0.564856527
36	0.562317298
37	0.5606778363
38	0.5588021262
39	0.5570499178
40	0.5554618439
41	0.5531839288
42	0.5509933369
43	0.5489209642
44	0.5470740272
45	0.5451193936
46	0.5425796515
47	0.5411745761
48	0.5390821417
49	0.5371467038
50	0.5348796241
51	0.5331317967
52	0.5319658814
53	0.5305356924
54	0.5293062094
55	0.5275288786
56	0.5260879245
57	0.5253961409
58	0.5242080155
59	0.5228494669
60	0.5208559869
61	0.5193757778
62	0.5180141276
63	0.5164207661
64	0.5146630176
65	0.5137676375
66	0.5130482295
67	0.5109965589
68	0.5105627993
69	0.5094751695
70	0.5084379184
71	0.5067484383
72	0.5051381766
73	0.503258795
74	0.5021306162
75	0.5008997019
76	0.4996836973
77	0.4982864359
78	0.4974175099
79	0.4958509229
80	0.4947340096
81	0.4937698629
82	0.4930200738
83	0.4916888191
84	0.4904429921
85	0.4891881636
86	0.4883901629
87	0.4872204575
88	0.486621146
89	0.4857537389
90	0.4847529928
91	0.4837001962
92	0.4831135254
93	0.4818975583
94	0.4813538073
95	0.4804685373
96	0.4795787244
97	0.479108884
98	0.4777653524
99	0.4771099276
100	0.4760353014
101	0.4747954771
102	0.4738561353
103	0.472794449
104	0.472395008
105	0.4714964109
106	0.4702415152
107	0.469319591
108	0.4682501317
109	0.4665987025
110	0.4658727901
111	0.4654839048
112	0.4644565341
113	0.4637144543
114	0.4628188474
