iter	Passed	Remaining
0	95	95611
1	169	84411
2	261	86963
3	359	89621
4	458	91171
5	552	91557
6	645	91498
7	721	89441
8	812	89429
9	908	89976
10	1007	90620
11	1118	92090
12	1235	93793
13	1326	93436
14	1438	94459
15	1550	95377
16	1655	95754
17	1748	95403
18	1836	94841
19	1926	94391
20	2027	94539
21	2125	94490
22	2215	94126
23	2308	93894
24	2425	94589
25	2539	95147
26	2639	95128
27	2740	95126
28	2835	94931
29	2928	94691
30	3023	94500
31	3127	94613
32	3231	94690
33	3318	94291
34	3420	94319
35	3512	94059
36	3599	93679
37	3675	93059
38	3794	93507
39	3902	93665
40	3997	93492
41	4091	93317
42	4179	93018
43	4284	93097
44	4380	92960
45	4470	92723
46	4576	92799
47	4667	92568
48	4763	92444
49	4858	92314
50	4968	92452
51	5067	92392
52	5143	91907
53	5240	91809
54	5339	91742
55	5452	91911
56	5544	91722
57	5612	91150
58	5684	90661
59	5774	90465
60	5862	90249
61	5949	90008
62	6023	89590
63	6116	89459
64	6207	89287
65	6297	89120
66	6386	88940
67	6484	88871
68	6533	88152
69	6617	87922
70	6706	87757
71	6803	87687
72	6894	87554
73	7012	87751
74	7126	87890
75	7227	87866
76	7319	87735
77	7413	87630
78	7514	87609
79	7612	87546
80	7828	88814
81	7976	89292
82	8071	89178
83	8201	89440
84	8334	89717
85	8497	90308
86	8625	90514
87	8740	90581
88	8806	90138
89	8918	90175
90	9027	90176
91	9147	90284
92	9253	90244
93	9367	90291
94	9463	90153
95	9577	90186
96	9709	90392
97	9849	90653
98	9973	90768
99	10103	90929
100	10206	90851
101	10316	90823
102	10493	91385
103	10626	91551
104	10748	91617
105	10914	92050
106	11025	92018
107	11148	92076
108	11251	91973
109	11408	92308
110	11530	92348
111	11590	91898
112	11691	91776
113	11835	91982
114	11975	92158
115	12119	92356
116	12240	92377
117	12378	92525
118	12523	92716
119	12686	93037
120	12869	93487
121	13033	93796
122	13165	93871
123	13303	93981
124	13505	94535
125	13763	95471
126	13925	95726
127	14042	95664
128	14146	95513
129	14255	95401
130	14358	95246
131	14481	95230
132	14621	95311
133	14741	95268
134	14856	95190
135	14985	95199
136	15105	95151
137	15219	95069
138	15362	95158
139	15462	94982
140	15580	94918
141	15687	94785
142	15785	94602
143	15907	94560
144	15963	94128
145	16040	93826
146	16149	93711
147	16281	93731
148	16409	93720
149	16517	93601
150	16645	93589
151	16743	93413
152	16850	93281
153	16967	93211
154	17102	93236
155	17214	93134
156	17321	93007
157	17374	92589
158	17513	92633
159	17620	92509
160	17719	92338
161	17828	92224
162	17958	92216
163	18094	92238
164	18262	92419
165	18407	92480
166	18517	92364
167	18664	92433
168	18807	92481
